,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
2685,Frighting thy frighted feare with horrid steele.,emotions,weapons__armor,,,,,
2686,"by the heauens doome, PhoebusÂ thy thoughts no longer smother.",religion,destruction,mental_faculty__state__entities,violence,,,
2687,"We'll set thee to school to an ant, to teach thee there's no labouring i' the winter. ",education,animals,labor,time,,,
2688,"your minds, Preoccupied with what you rather must do Than what you should, made you against the grain To voice him consul",mental_faculty__state__entities,etiquette,resistance,architecture,sounds,politics,
2689,[Night] wings Though darker than the Moones ecclipsed browe Are not fit Canopies for sinne.,darkness,animals,astrology,anatomy,concealment,religion,
2691,"O you whose blasting flames Hurle barren droughts upon the patient earth,",violence,fire,consumption,character_traits__nature,nature,,
2692,Yet now desire is quench't flam'd once in height: ,sexuality,consumption,fire,spatial,,,
2694,Wishing the complete uniuerse might be Subject to such a rag of it as he,mental_faculty__state__entities,nature,politics,clothes,men,,
2695,never Shall sun that morrow see!,time,nature,sensations,,,,
2696,"I have rubb'd this young quat almost to the sense, and he grows angry",violence,LIFE'S CYCLE,medicine,suffering,emotions,,
2697,"likeÂ AiaxÂ stand, When as forsook of Fortune amongst his foes, Grief stopped his breath nor could he speak his woes",myth,privation,mystical,social_relations,emotions,breathing,language
2698,"I'll leave thee Now, like a man of steel. ",privation,men,weapons__armor,,,,
2700,"Put up your Bird-spit [sword], , tut I feare it not,",animals,food,weapons__armor,emotions,,,
2701,I that am hard of heart sigh for their sake,physical_attributes,anatomy,sounds,devotion,,,
2702,"as many liues as starres Stucke in yond azare roofe, ",quantities,life,nature,adhesion,spatial,colors,architecture
2703,"What's this world like to? [Â??] just like an Inn-keepers Chamber-pot, receives all waters, good and bad, It had need of much scouring.",politics,accommodation,anatomy,ethics,cleaning,,
2704,But yet that [to stone Philotas] would not satisfie the breath Of busie rumour; ,violence,feelings,breathing,language,,,
2705,"farewel Instructions, Admonitions.",greetings,education,etiquette,,,,
2706,a Widdowes mournefull house,matrimony,emotions,domestic,,,,
2707,"being Wives, They are Sovereigns: ",matrimony,politics,,,,,
2710,Beneath the Moone nought but your frowne can grieue me.,spatial,astrology,privation,facial_expressions,emotions,,
2711,"RohdansÂ shrillÂ TritonsÂ through their brazen trumps, Echo my fame against theÂ GallianÂ Towers",myth,sounds,music,recognition,architecture,,
2712,"Hadst you, like us from our first swath, proceeded The sweet degrees that this brief world affords To such as may the passive drudges of it Freely command, you wouldst have plunged thyself In general riot",clothes,social_status,nature,labor,commands,physical_activities,joviality
2713,The noblest mind he carries That ever govern'd man.,character_traits__nature,mental_faculty__state__entities,labor,social_relations,,,
2714,"The Heavens are coloured in mourning sable weeds,",religion,colors,emotions,clothes,,,
2715,"swore as many oaths as I spake words, and broke them in the sweet face of heaven:",language,quantities,violence,anatomy,religion,,
2716,"you very valiant, for you met [kissed] me at full Cariere.",character_traits__nature,social_relations,sexuality,equestrian,,,
2717,"The lamp of all authoritie goes out, And all the blaze of Princes is extinkt;",light,politics,consumption,fire,destruction,,
2719,"It [knife] shall make a passage for my life to pass, cause through my life his master murdered was.",weapons__armor,spatial,life,social_status,violence,,
2720,"[on the senate's] pawne of honor I engagde my loue, Slav'd my affections, and ",politics,economics,recognition,emotions,social_status,,
2721,"sinkeÂ Cytheron , tremble, GreenÂ TempeÂ wither, and with me forgoe Your place and being, ",destruction,geography,emotions,colors,consumption,privation,spatial
2722,"Trembling desire, feare, hope, and doubtfull leasure, Distill from love the Quintessence of pleasure.",emotions,mental_faculty__state__entities,time,alchemy,feelings,,
2723,"Heauen, you have I offended, that this rod So heavy and vnnaturall, should fall upon me When I am olde and helplesse.",religion,derision__offense___contempt,violence,weight,nature,LIFE'S CYCLE,weapons__armor
2724,"[mine Honour] which whilst I keepe,  I shall esteeme My selfe aboue the Princes of the earth",sexuality,economics,preservation,mental_faculty__state__entities,politics,nature,
2728,"The Gods amazed (as once inÂ TitansÂ war) Do doubt and fear, which boads this deadly jar.",religion,mental_faculty__state__entities,myth,military,emotions,sounds,death
2729,"Let me have war , it exceeds peace as far as day does night; ",military,politics,light,darkness,,,
2730,"There is no way inÂ SauoyÂ nor inÂ Spaine, To giue a foole that hope of your escape,",spatial,politics,mental_faculty__state__entities,emotions,danger__safety,,
2731,"your light's aboue me, yet let it shine Like the daies beauty on the lowly plaines.",light,spatial,time,appearance,nature,,
2732,"Learned Magician skilled in hidden Arts, As well in prior as posterior parts",education,mystical,concealment,,,,
2733,"[Gold] It is you that rigg'st the bark and plough'st the foam, Settlest admired reverence in a slave",economics,nautical,architecture,recognition,devotion,social_status,
2734,my husbands height Is crowne to all my hopes:,matrimony,spatial,politics,emotions,,,
2735,"Thy bed is made with spice andÂ Calamus, With Sinamoned and Spicnard, Arabic, With Opobelsam and rich gums ofÂ Egypt, MusicÂ AngelicalÂ of strings and voices.",domestic,food,sensations,geography,music,religion,sounds
2736,"From thence, the sauce to meat is ceremony; ",food,etiquette,,,,,
2737,Hast you beguiled her of salvat?Â¯on And rubbed hell oÂÂer with honey?,deception,religion,food,,,,
2738,"But [brother] find your wrongs, to have the sharpest point.",familial,ethics,violence,weapons__armor,,,
2739,"he must needs be a scurvy Musicion, that has two Fiddlers to his Fathers",medicine,music,quantities,familial,,,
2740,Enuy is stinglesse when she lookes on thee.,emotions,animals,women,sensations,,,
2741,"that will do [have sex] with devil,",sexuality,religion,,,,,
2742,he hates him much That would upon the rack of this tough world Stretch him out longer.,emotions,violence,nature,spatial,time,,
2743,T'has left the passage of our practise free.,spatial,deception,social_relations,,,,
2744,I would not see your cruel nails Pluck out his poor old eyes,sensations,ethics,anatomy,violence,LIFE'S CYCLE,,
2745,"when it pleaseth their deities to take the wife of a man from him, it shows to man the tailors of the earth; ",feelings,religion,matrimony,men,clothes,nature,
2746,"we fight, toyle, win. To make that yong-man proud, thus is he borne: Vpon the winges of our disartes,",violence,LIFE'S CYCLE,character_traits__nature,labor,animals,ethics,
2747,"Worse than a Cammel in her time of lust, Cruell unto your childe:",animals,time,sexuality,ethics,familial,,
2748,"twas folly, For one poor grain or two, to leave unburnt, And still to nose the offence.",mental_faculty__state__entities,quantities,architecture,privation,fire,sensations,derision__offense___contempt
2749,"impudent Than any painted bawde; which, not to sooth And glorifie thee like a Iupiter Hammon, Thou eat'st your heart in vineger;",derision__offense___contempt,appearance,sexuality,recognition,myth,food,anatomy
2750,"nature workes at randome just with you: But with as much decorum she may make A thing that from the feete up to the throat Hath all the wondrous fabrike man should haue, And leave it headlesse for an absolute man,",nature,luck,etiquette,women,anatomy,clothes,privation
2751,The florish fore loves fight isÂ VenusÂ blisse.,nature,emotions,violence,myth,,,
2752,I'le make thee my Phisitian. Thou shalt read Philosophie to me. I will find out th'efficient cause of a contented minde,medicine,language,education,mental_faculty__state__entities,emotions,,
2753,I beare a heart as loyall vnto you In this vnsightly body,labor,anatomy,devotion,appearance,,,
2754,"They [wise men] know not how their wits to wear,",mental_faculty__state__entities,clothes,,,,,
2756,"one Stronge Barre, Betwixt his will, and duty were dissolud.",music,spatial,mental_faculty__state__entities,devotion,consumption,,
2757,"she liues Like a pure relique of some holy Saint, Shrind in our breasts for euer: ",life,cleaning,religion,anatomy,time,,
2758,"When Homer made Achilles passionate, Wrathful, revengeful, and insatiate In his affections; what man will deny, He did compose it all of industry, ",art,myth,emotions,violence,privation,labor,
2759,her sight like death doth feare me. ,sensations,death,emotions,,,,
2760,"Doctor! Behold two Patients, in whose cure your skill may purchase an eternall fame. ",medicine,sensations,economics,time,recognition,,
2761,"[The star] will rain a poisoned shower into your entrails, that will make you feel how little safety lies in treacherous steel.",astrology,medicine,anatomy,sensations,danger__safety,politics,weapons__armor
2762,[Within] fruitlesse drought Pines in eternalÂ Night,spatial,nature,consumption,time,darkness,,
2763,"Lafter trauaile.; Like one that scapeth dangers on the Seas, Yet trembles vvith cold feares being safe on land, With bare imagination of what's past.",geography,danger__safety,nature,emotions,temperature,mental_faculty__state__entities,
2764,nor love nor life Shall turn mine honors current,emotions,life,transformation,recognition,nature,,
2765,less then admiration loses this god-like man.,recognition,privation,religion,men,,,
2766,You may relish him more in the soldier than in the scholar.,feelings,military,education,,,,
2767,"when death (Sleep's natural brother) comes, that's nothing worse, But better; being more rich and keeps the store; ",death,sleep,familial,movement,suffering,economics,
2768,"I clip the anvil of my sword,",affection,labor,weapons__armor,,,,
2769,May all the building in my fancy pluck Upon my hateful life:,architecture,mental_faculty__state__entities,violence,emotions,life,,
2770,"Thrown ink upon the forehead of our state, Which envious spirits will dip their pens into After our death, and blot us in our tombs;",materials,anatomy,politics,emotions,language,cleaning,death
2771,"Thou disease of a friend,",medicine,social_relations,,,,,
2772,"I lie Prostrate at feet of his accurssed misfortune, Pouring my teares out, which shall ever fall, Till I have poured for him out eyes and all. --this will kill him",physical_activities,anatomy,suffering,time,consumption,violence,
2773,I laugh to think that babe [Joy] a bastard.,derision__offense___contempt,mental_faculty__state__entities,LIFE'S CYCLE,emotions,familial,,
2774,"we have waited at his lodging, longer than a Tailor's bill on a young Knight for an old reckoning",time,accommodation,size,clothes,economics,LIFE'S CYCLE,social_status
2775,"as this doting hand, Euen out of earth, (like Iuno) strooke this giant, So Ioues great ordinance shall be here implide To strike him vnder the Etna of his pride:",anatomy,nature,myth,violence,emotions,judiciary,character_traits__nature
2776,your fierce sister In his anointed flesh stick boarish fangs.,familial,politics,anatomy,violence,animals,,
2777,This [imagining] is the air-drawn dagger ,mental_faculty__state__entities,nature,weapons__armor,,,,
2778,"a Lawyer that turnes sacred law Into a Harpye, that eates all but's owne,",judiciary,transformation,religion,myth,food,,
2780,help to save What hand of man wants power to destroy.,assistance,anatomy,men,privation,destruction,,
2781,"Plant those that have revolted in the van, That Antony may seem to spend his fury Upon himself.",architecture,social_unrest,economics,emotions,military,,
2783,"Poor boys, in heart unlikeÂ RiarioesÂ race,  war-like linnage by the mother",LIFE'S CYCLE,anatomy,military,familial,,,
2784,"you of easy wax, do but imagine, Now the disease has left you, how leprously That office would have clinged unto your forehead.",materials,mental_faculty__state__entities,medicine,privation,adhesion,anatomy,
2785,"[Eyes] That let all pleasure out into the world, Vnhappy that they cannot see themselues.",anatomy,sexuality,spatial,nature,emotions,privation,sensations
2787,"when he speakes to me I see he striues, To giue a coulor vnto what is not,",language,sensations,mental_faculty__state__entities,colors,privation,,
2788,"But that Immortals wincke at my offence, Makes me presume more boldly",death,concealment,derision__offense___contempt,mental_faculty__state__entities,character_traits__nature,,
2789,"OhÂ the cherry lips ofÂ Nelly [woman], They are red and soft as ielly,",food,anatomy,women,colors,sexuality,,
2791,IÂÂve many griefs to dispatch out of the way.,quantities,emotions,privation,spatial,,,
2792,"Speake words, made half with tears that I did love thee.",language,quantities,anatomy,emotions,,,
2793,"much is breeding, Which, like the courser's hair, has yet but life, And not a serpent's poison.",reproduction,equestrian,anatomy,life,animals,violence,
2794,"TheirÂ GeniusÂ has foretold them of their end, And joyfully they do shake hands with death.",mystical,death,emotions,greetings,anatomy,,
2795,"There is a deepe nicke in times restlesse wheele For each mans good, when which nicke comes it strikes;",spatial,music,time,feelings,ethics,violence,
2796,"raising Your virtues, past the reaches of this age, And ranks you with the best of the ancient Romans.",physical_activities,character_traits__nature,spatial,time,social_status,historical,
2797,The falling of one head lifts up another.,physical_activities,anatomy,spatial,,,,
2798,fill our bowls once more; Let's mock the midnight bell.,food,derision__offense___contempt,time,sounds,,,
2800,"make their fortune good upon my ill, Whilst feare has powre to wound me worse than hate?",mystical,ethics,emotions,violence,,,
2801,Many harmonious hours and choicest pleasures Fill up the royal numbers of your years.,music,time,feelings,food,social_status,,
2802,"As Cedars beaten with incessant stormes, So great men flourish;",nature,violence,social_status,politics,,,
2803,"there's the beauty without parallel, In whom the Graces and the Vertues meete:",appearance,religion,ethics,social_relations,,,
2804,"Here are no hills wherewith to feed your eyes, But heaped hills of mangled Carcasses",privation,geography,food,anatomy,violence,death,
2805,"fall'n out with my more headier will, To take the indisposed and sickly fit For the sound man.",social_relations,anatomy,mental_faculty__state__entities,medicine,,,
2807,"Then should you [children] see the penitent glasses melt, ",familial,sensations,religion,materials,consumption,,
2808,"[the king] the more Death in her Seres bears, the more time she stays Her thundery stoop from that on which she preys.",politics,animals,death,time,preservation,nature,hunting__fishing
2809,"I'll balm your body with my faithful tears, And be perpetuall mourner at thy Tombe,",medicine,anatomy,devotion,emotions,death,,
2810,I had rather have one scratch my head i' the sun When the alarum were struck than idly sit To hear my nothings monster'd.,sensations,anatomy,nature,military,physical_activities,privation,deformities__disabilities
2812,"you terror to fat folks, To have their costly three-piled flesh worn off As bare as this",emotions,physical_attributes,economics,anatomy,consumption,,
2813,"the gods keep you old enough; that you may live Only in bone, that none may look on you!",religion,preservation,LIFE'S CYCLE,life,anatomy,sensations,
2814,[his captain's heart] is become the bellows and the fan To cool a gipsy's lust.,military,anatomy,temperature,ethnicity__nationality,sexuality,,
2815,"Your love's here worn, your presence in my eye.",emotions,clothes,appearance,anatomy,,,
2816,"She puts her tongue a little in her heart, And chides with thinking.",anatomy,etiquette,mental_faculty__state__entities,,,,
2817,"How luculent and more conspicuous Even than the sun, in clearest Majesty, His vehement and more then hellish thirst Soaring",light,appearance,nature,politics,religion,food,physical_activities
2819, Deceit has eyes that see into the mind.,deception,anatomy,sensations,mental_faculty__state__entities,,,
2820,"Making her lust her God, heau'n her delights.",sexuality,religion,,,,,
2821,"Kiss me again, fair Thetis [wife].",sexuality,myth,matrimony,,,,
2823,"[earth] take down this bitter pill, Loathing the hateful taste of his own ill.",nature,spatial,food,medicine,emotions,ethics,
2824,with long lust to eat Into my wearing,sexuality,food,clothes,,,,
2825,"IÂm confounded everlastingly, Damned to a thousand tortures in that sight",mental_faculty__state__entities,time,religion,quantities,violence,sensations,
2826,"Close the vaults mouth least we do slip in drinke,",spatial,architecture,anatomy,food,,,
2827,"all the rest [of the tormented souls in hell] did stand Catching the air from his [the Thracian's tunes] delicious hand, I would I might pertake their happines.",violence,religion,nature,myth,music,anatomy,emotions
2828,"[Hear nature, goddess] Suspend your purpose, if you didst intend To make this creature fruitful! ",sensations,nature,religion,hindrance,mental_faculty__state__entities,reproduction,
2831,"crossing it, no breath, But like God's Image, follows to the death,",spatial,breathing,religion,art,movement,death,
2832,"Yet craues as due, the iustice of your hands",emotions,recognition,judiciary,anatomy,,,
2833,"[the foul fiend] has laid knives under his pillow, and halters in his pew",ethics,religion,weapons__armor,sleep,violence,spatial,
2835,she stands as if she were inuenting Some new destruction for the world.,physical_activities,mental_faculty__state__entities,destruction,politics,,,
2836,"We'll send our minds, written in fiery notes.",mental_faculty__state__entities,language,fire,,,,
2837,Take up this mangled matter at the best:,mental_faculty__state__entities,violence,etiquette,,,,
2840,"an eye can stamp and counterfeit advantages,",anatomy,economics,deception,physical_attributes,,,
2841,"[that all the joints and nerves sustaining nature, as well may break, and yet the world abide, as] any one ill scape his penalty.",anatomy,preservation,nature,destruction,ethics,danger__safety,judiciary
2842,"beneath these Curtaines lyes, That bright enchantresse that hath daz'd my eies.",spatial,concealment,sleep,mystical,light,anatomy,
2843,"I flew between her Ivory brests, As if I had beene driuen by some Hawlke,",animals,spatial,materials,anatomy,danger__safety,,
2844,in this plainness Harbour more craft and more corrupter ends Than twenty silly ducking observants That stretch their duties nicely.,language,concealment,deception,quantities,animals,spatial,devotion
2846,take me from this world with treachery and devise engines for my life.,violence,nature,social_relations,deception,,,
2847,tune my humour to strange strains of mirth:,music,mental_faculty__state__entities,suffering,joviality,,,
2852,IÂm lost by violence through all my senses.,privation,violence,sensations,,,,
2853,"To morrow they are executed leasse we reprieve them, Wee be their destinies to cast their fate.",time,violence,judiciary,mystical,,,
2855,"A love that makes breath poor, and speech unable",emotions,breathing,economics,language,privation,,
2856,we'l get young bones and doe't [have sex]. ,LIFE'S CYCLE,anatomy,sexuality,,,,
2857,virtue lives so undistinguished From vice in any ill,ethics,life,mental_faculty__state__entities,,,,
2858,I shall neuer henceforth taste of lowsie misfortune,time,food,suffering,,,,
2859,ignorance in the shape of a Citizen mufled in the scarlet of magistracy that could not write his own name.,mental_faculty__state__entities,appearance,politics,concealment,colors,language,
2861,"to transport the tidings, Which I have heavily borne",labor,language,weight,,,,
2862,"If ever Nature held herselfe her owne, When the great Trial of a King and subiect Met in one blood, both from one bellie springing: ",nature,mental_faculty__state__entities,judiciary,politics,anatomy,,
2863,[this woman] is a rare phoenix,women,myth,,,,,
2864,he mocks the pauses [in battle] that he makes.,derision__offense___contempt,hindrance,military,,,,
2866,"with how much weight, My vow has charged it [my business].",weight,language,economics,labor,,,
2867,"so shall my lungs Coin words till their decay against those measles, Which we disdain should tatter us, yet sought The very way to catch them.",anatomy,economics,language,consumption,medicine,derision__offense___contempt,discovering
2869,"Ile think't my loue, and die in that delight.",mental_faculty__state__entities,emotions,death,sexuality,,,
2870,"The common deposition, and her whoore To all whorish periuries and treacheries.",judiciary,sexuality,politics,,,,
2871,"When shall we looke his trauailes will be donne, That tends beyond the Ocean and the Sunne?",mental_faculty__state__entities,labor,spatial,nature,,,
2872,Let sadÂ AlectoÂ sound her feareful trump. RevengeÂ arise in loathsome fable [feeble] weeds,emotions,myth,music,violence,clothes,,
2874,"when our lofty Muses shall perceive, then in more pompous and triumphant state, Your eyes with glory shalll the deed receive Of mighty Monarches, Kings, and change of fate.",myth,mental_faculty__state__entities,military,anatomy,recognition,politics,mystical
2875,"(like a Leacher emptied of his lust) desire to burie my face vnder my eye-browes, and would ",sexuality,consumption,emotions,death,anatomy,,
2876,"the Gods turn false, My sad presage.",religion,ethics,emotions,mystical,,,
2877,Nothing wounds deeper than ingratitude,privation,violence,spatial,recognition,,,
2878,go the primrose way to the everlasting bonfire. ,movement,nature,spatial,time,religion,,
2879,if I were receiuing the holy Sacrament His sight would make me gnash my teeth terribly:,religion,appearance,emotions,anatomy,,,
2880,"cut short off these long and dull delays, Hitherto to bribing the eternall justice",violence,time,economics,judiciary,,,
2881,"[the devil] To spred into a father, and in furie, Make him his childrens executioners",religion,spatial,familial,emotions,violence,,
2882,The sun shall never set upon my wrath,nature,time,consumption,emotions,,,
2883,"in this brest, such [lustful] thoughts could finde no place,  ",anatomy,sexuality,mental_faculty__state__entities,discovering,spatial,,
2884,"that lightning that a while doth strike Our eyes with amaz'd brightnesse, and on a sudden Leaues us in prisoned darknesse.",nature,violence,anatomy,light,privation,incarceration,darkness
2885,They be fires in Cities Enrag'd with those windes that less lights extinguish.,fire,urban,emotions,nature,consumption,,
2886,"That I did love the Moor to live with him, My downright violence and storm of fortunes May trumpet to the world",emotions,ethnicity__nationality,violence,nature,mystical,sounds,politics
2888,"Thou blessedÂ Mercurie, Prepare a banquet fit to please the Gods;",religion,myth,food,etiquette,feelings,,
2889,"For if such actions [wrongs] may have passage free, Bond-slaves and pagans shall our statesmen be.",ethics,spatial,social_relations,social_status,religion,politics,
2890,"The repetition, in a woman's ear, Would murder as it fell.",language,women,anatomy,violence,,,
2891,"For as the Moone , glasse to shew them [women] how they wax and wane,  So women, that  Are the most perfect images of the Moone, Not only are paternes of change to men: Cleeres, or is cloudy, make men glad or sad.",astrology,appearance,women,transformation,men,nature,emotions
2892,"A soul that's cleare is light, though heaven be darke.",religion,cleaning,light,darkness,,,
2893,"For bounty, that makes gods, does still mar men.",character_traits__nature,religion,destruction,humanity,,,
2894,"you barr'st us Our prayers to the gods, which is a comfort That all but we enjoy; ",hindrance,religion,feelings,emotions,,,
2895,"though I go alone, Like to a lonely dragon, that his fen Makes fear'd and talk'd of more than seen",movement,social_relations,myth,nature,emotions,language,appearance
2896,"[credulity] that feeling for his way Euen when he thinkes in his deluded sense, To snatch at safety, falls without defence",mental_faculty__state__entities,sensations,spatial,adhesion,danger__safety,physical_activities,
2897,let him see the horrors of his perjured soul.,sensations,emotions,judiciary,religion,,,
2898,"or if her [Envy] squint eye Haue power to find [sores] none there, she forges some:",women,emotions,anatomy,discovering,injuries,deception,
2899,"Do you bandy looks with me, you rascal!",games__sports,sensations,social_status,,,,
2900,"that glib and oily art, To speak and purpose not",movement,materials,art,language,mental_faculty__state__entities,,
2901,That the whole life of Athens were in this! Thus would I eat it.,life,politics,food,,,,
2902,"your sword made passage for your self, To wade in blood of them that sought your death,",weapons__armor,spatial,movement,anatomy,death,,
2903,"Peach [snitch], oh, disgrace: peach in your face, ",language,etiquette,anatomy,,,,
2904,"mechanic slaves With greasy aprons, rules, and hammers, shall Uplift us to the view;",labor,social_status,clothes,cleaning,physical_activities,appearance,
2906,"Forgiue it [hand], for the blood with which tis staind In which I writ the summons of your death:",ethics,anatomy,cleaning,language,commands,death,
2907,You witch me in it; Surprise me to the very brink of tears,mystical,mental_faculty__state__entities,anatomy,,,,
2908,"suck the subtle blood o' the grape, Till the high fever seethe your blood to froth, And so 'scape hanging",food,anatomy,medicine,temperature,danger__safety,violence,
2910,"Take not into your noble veines the blood Of these base villans, nor the light reports Of blister'd tongues, for cleere and weightie truth:",resistance,character_traits__nature,anatomy,ethics,language,medicine,weight
2912,"chide away, that foolish country girl Keeps company with your daughter, Chastity.",etiquette,mental_faculty__state__entities,geography,LIFE'S CYCLE,social_relations,familial,sexuality
2913,"though he [drink] took up my legs sometime, yet I made a shift to cast him.",food,games__sports,anatomy,movement,,,
2915,"learn out by lore of policy The substance of their motions, that we may Be better armed to give them resolution.",education,deception,movement,weapons__armor,destruction,,
2916,Advance your lilly standard potent King:,military,nature,heraldry,politics,,,
2918,To be a comrade [in a tent] with the wolf and owl,military,animals,accommodation,,,,
2920,The thane of Cawdor lives: why do you dress me In borrow'd robes?,social_status,life,clothes,economics,,,
2922,"they wanted cunning, in excess Hath broke their hearts. ",privation,deception,quantities,violence,anatomy,,
2923,"I have lost my reputation! I have lost the immortal part of myself, and what remains is bestial. ",privation,recognition,death,animals,,,
2925,"a fire drak glide at midnight Before a dying man to point his grave, And in it stick and hide.",fire,darkness,movement,time,death,concealment,
2926,"This murderous shaft that's shot Hath not yet lighted, and our safest way Is to avoid the aim.",violence,weapons__armor,hunting__fishing,danger__safety,spatial,,
2927,"Our loves are friendly twins, both at a birth;",emotions,social_relations,familial,reproduction,,,
2928,"you (deare Mistresse) being the last and best That speakes my farewell; like th'imperious cloze Of a most sweete Oration, wholy have Possess'd my liking,  ",women,language,greetings,politics,emotions,,
2929,"Change fear to joy, and war to smooth-faced Peace.",transformation,emotions,military,anatomy,politics,,
2930,"All eyes are wet with teares, saue those where griefe Hath dryed all moysture vp. ",anatomy,physical_attributes,emotions,consumption,,,
2931,"Yet me thinks such men, As are the eyes and eares of princes, should Not weigh so light such an intelligence.",social_status,anatomy,politics,weight,mental_faculty__state__entities,,
2934,"Our Pleasures Protean-like in sundry shapes, Shall with varietie stirre daliance.",sexuality,myth,appearance,movement,joviality,,
2936,"which parted thence [the guests from the eyes], As pearls from diamonds dropp'd.",social_relations,anatomy,privation,economics,,,
2938,We [the people] hope to find you our friend; and therefore give you our voices heartily.,politics,emotions,social_relations,sounds,anatomy,,
2939,the gallant breaths himself at some two or three Bawdy houses in a morning.,social_status,breathing,quantities,sexuality,architecture,time,
2940,"where two warriors stand, Casting their eyes down to the chearless earth",military,anatomy,spatial,emotions,nature,,
2941,We will embrace that course [Dangers],affection,danger__safety,,,,,
2943,"Death with pale and meager look usurp, upon those resiate lips, and Coral cheeks, then air be turnd, to poison to infect me,",death,physical_attributes,politics,anatomy,nature,transformation,medicine
2944,"Your tongue will still admire, Till my head be the miracle of the world.",anatomy,recognition,religion,nature,,,
2945,His wonders and his praises do contend Which should be thine [military general] or his [the king's]:,religion,recognition,violence,military,politics,,
2946,To let my sword Catch cold so long and miss him.,weapons__armor,medicine,privation,,,,
2948,"the supporters of the Court, the Lady of the labby gape after your good parts like so many griggles after fresh water, and can you withhold the dew of your moyster element?",politics,women,facial_expressions,character_traits__nature,animals,preservation,nature
2949,"Had men that law to loue, as most have tongues To love a thousand women with, then you might speak.",men,judiciary,emotions,anatomy,quantities,women,
2950,[to ease] with other incident throes That nature's fragile vessel doth sustain In life's uncertain voyage,feelings,suffering,nature,physical_attributes,anatomy,life,geography
2951,"To keep your great pretences veil'd till when They needs must show themselves; which in the hatching, It seem'd, appear'd to Rome.",preservation,deception,concealment,appearance,politics,,
2952,Her constant hand ript vp her innocent brest,character_traits__nature,anatomy,violence,judiciary,,,
2953,"Take from your Quiver, suer-aymdÂ Apollo,Â one of your swift darts, Headed with your consuming golden beames, And let it melt this body into mist, That none may find it.",weapons__armor,myth,consumption,light,anatomy,nature,discovering
2954,"Why would he throw them down onÂ O?Â©taÂ mount or wound the under ringingÂ Rhodope, And not rain showers of his dead-doing darts,",violence,spatial,geography,nature,sounds,death,weapons__armor
2955,"Can such things [ghosts] be, and overcome us like a summer's cloud,",mystical,violence,nature,,,,
2956,"in that beastly fury He has been known to commit outrages, and cherish factions",animals,emotions,recognition,violence,assistance,social_unrest,
2959,Ile breake my bloods high billows gainst my starrs;,violence,anatomy,sounds,astrology,,,
2960,"Away with him to a close prison [Â]; Such branches must be cropt before they growe,",incarceration,architecture,size,,,,
2961,"I had been happy if the general camp, Pioners and all, had tasted her sweet body, so I had nothing known",emotions,military,food,anatomy,mental_faculty__state__entities,privation,sexuality
2962,Justice that smiles on those on him must frown,judiciary,facial_expressions,,,,,
2965,"exchange me for a goat, When I shall turn the business of my soul To such exsufflicate and blown surmises, Matching your inference.",economics,animals,character_traits__nature,religion,medicine,etiquette,
2967,"our loue, hard by the reuerent ruines Of a once glorious temple rearde toÂ Joue,",emotions,physical_attributes,destruction,religion,architecture,,
2968,[wronged Ghost] DrinkeÂ LetheÂ freely for you art reuengd.,ethics,mystical,food,myth,violence,,
2969,"of thee craves The circle of the Ptolemies for her heirs,",emotions,spatial,historical,familial,,,
2971,"Sent from the Crystal Palace of trueÂ Fame, And bright Star-Chamber of eternal souls",architecture,recognition,light,astrology,time,religion,
2972,"Flies are not eaglesÂ preys, nor thanks our food.",animals,recognition,food,,,,
2973,tis in your power To worke your will on him:,social_relations,labor,mental_faculty__state__entities,,,,
2976,"[it dares not leave my brest] Mount to the flaming girdle of the world, And fetch me lightnings, ",resistance,privation,anatomy,physical_activities,fire,clothes,nature
2977,By poison which now struggleth with your spirits,medicine,violence,character_traits__nature,,,,
2978,Let's briefly put on manly readiness,clothes,men,mental_faculty__state__entities,,,,
2980,"he will cast no danger, where her sweet feet tread.",danger__safety,anatomy,movement,,,,
2982,"as their tyrants and their ministers, Growe wilde in prosecution of their lusts, So they grow prostitute, and lye (like whores) Downe and take vp, to their abhord dishonors:",politics,nature,judiciary,sexuality,spatial,etiquette,
2983,Our selues are vassailes to the Roman state.,social_status,politics,,,,,
2984,hel wil stand more pleasa?t than her house at home.,religion,feelings,domestic,accommodation,,,
2985,thereÂÂs no pleasure sweet but it is sinful. ,privation,feelings,food,religion,,,
2986,Hell craves her right and her the furies stand,religion,emotions,politics,myth,women,,
2987,"[Forsake your] Own god inspired insight to all changes Of Protean fortune, and her zany, war, For hosts, and hells of such",privation,religion,mystical,transformation,myth,theatre,military
2988,Some angel lay a listÂning ear To draw my cry up!,religion,sensations,anatomy,assistance,sounds,,
2989,"and I most unfortunate in [bath] buttermilk,",suffering,cleaning,food,,,,
2990,"no levell'd malice Infects one comma in the course I hold; But flies an eagle flight, bold and forth on, Leaving no tract behind.",ethics,medicine,language,preservation,animals,character_traits__nature,spatial
2991,"The shores of Sicilie retaines not such a Monster, Though to Galley-slaves they daily prostitute.",nature,geography,deformities__disabilities,nautical,social_status,time,sexuality
2992,On horror's head horrors accumulate;,emotions,anatomy,quantities,,,,
2993,in that blush my guilt thou didst betray,facial_expressions,judiciary,social_relations,,,,
2995,"Thou dreamest, awake now; what was here to see?",mental_faculty__state__entities,sleep,sensations,,,,
